key,code,moment,start-date,finish-date,amount,sponsorship-type,email,link,isPublished,key:project,key:sponsor
sponsorship-01,YGF-007,2002/01/28 00:00,2003/01/28 00:00,2003/02/28 00:00,EUR 52000,FINANCIAL,a@b.esx,http://example.org/a/b?a&b,false,project-01,sponsor-01
sponsorship-02,CGI-787,2003/01/29 00:00,2003/01/29 00:01,2003/02/28 00:02,USD 5000,FINANCIAL,a@b.es,https://github.com,false,project-01,sponsor-02
sponsorship-03,BLA-787,2005/01/30 00:55,2005/01/30 00:57,2005/02/28 00:57,USD 10000,INKIND,a@b.e,http://google.co.uk,false,project-01,sponsor-01
sponsorship-04,ZZZ-999,2000/01/31 00:00,2005/01/31 00:00,2005/02/28 10:00,USD 82500,INKIND,sponsor04@ejemplo.com,http://businesswire.com,false,project-08,sponsor-02
sponsorship-05,PSS-111,2007/01/01 01:00,2007/02/01 00:00,2007/03/01 00:05,GBP 2500,INKIND,,,false,project-10,sponsor-01
sponsorship-06,AAA-001,2007/02/13 12:45,2007/02/15 12:45,2007/03/15 12:46,GBP 27500,FINANCIAL,password@lorem-ipsum.org,http://www.lorem-ipsum.org/dolor/sit.html,false,project-02,sponsor-02
sponsorship-07,AHH-777,2009/10/15 12:45,2009/10/31 12:45,2009/11/30 12:45,GBP 1000000.00,FINANCIAL,,http://アマゾン.cn,false,project-05,sponsor-01
sponsorship-08,JAH-227,2009/10/30 07:45,2009/11/30 07:45,2009/12/30 12:45,EUR 7500,FINANCIAL,,https://www.link.com,false,project-09,sponsor-02
sponsorship-09,BRR-865,2008/12/31 07:45,2009/12/31 07:45,2010/01/31 18:45,EUR 27000,INKIND,acme@lorem-ipsum.org,https://npr.org,false,project-07,sponsor-01
sponsorship-10,ZZZ-325,2007/02/15 10:45,2008/01/28 18:45,2008/02/28 19:45,GBP 9000,INKIND,sponsor10@ejemplo.com,https://www.link.com,false,project-10,sponsor-02
sponsorship-11,OHJ-123,2008/01/28 18:00,2008/01/29 18:45,2008/02/29 20:45,GBP 8540,FINANCIAL,,http://example.org/a/b?,false,project-02,sponsor-02
sponsorship-12,ABH-777,2008/01/28 18:45,2008/01/30 18:45,2008/02/29 20:45,GBP 5400,FINANCIAL,password@lorem-ipsum.org,https://마리포사.com,false,project-05,sponsor-01
sponsorship-13,JAM-227,2007/12/31 18:45,2008/01/31 14:45,2008/02/29 20:45,USD 0.01,FINANCIAL,a@b.esx,,false,project-09,sponsor-02
sponsorship-14,BWR-865,2008/01/29 14:45,2008/02/29 14:45,2008/03/29 21:45,EUR 35500,INKIND,a@b.esx,http://fc2.com,false,project-07,sponsor-01
sponsorship-15,PZZ-325,2009/12/31 00:45,2010/01/01 07:45,2101/02/15 07:46,GBP 3500,INKIND,password@lorem-ipsum.org,http://example.org?a=1&b=2,false,project-10,sponsor-02
sponsorship-16,BLA-325,2001/02/11 00:45,2001/03/11 00:45,2101/04/11 16:46,USD 54,FINANCIAL,password@lorem-ipsum.org,,false,project-05,sponsor-02
sponsorship-17,UFO-001,2001/07/31 00:45,2001/07/31 15:45,2010/08/31 15:45,EUR 15,INKIND,,,false,project-02,sponsor-01
