key,acceptance-criteria,description,estimated-cost,link,priority,title,draft-mode,key:manager
user-story-01,criteria Example,Description Example,1,http://example.com,SHOULD,Title Example,false,manager-01
user-story-02,criteria Example,Description Example,2,http://example.com2,COULD,Title Example,false,manager-02
user-story-03,criteria Example,Description Example,7,null,MUST,Title Example,false,manager-02
user-story-04,criteria Example,Description Example,4,http://example.com4,WONT,Title Example,false,manager-02
user-story-05,接受标准示例,描述示例,5,http://example.com5,SHOULD,标题示例,false,manager-01
user-story-06,受け入れ基準の例,説明の例,6,http://example.com6,COULD,タイトルの例,false,manager-01
user-story-07,Пример критериев приемки,Пример описания,3,http://example.com7,MUST,Пример названия,false,manager-02
user-story-08,接受標準範例,描述範例,5,http://example.com,WONT,標題範例,false,manager-01
user-story-09,허용 기준 예,설명 예,60,http://example.com9,SHOULD,제목 예,false,manager-02
user-story-10,मानदंड उदाहरण,विवरण उदाहरण,75,http://example.com10,COULD,शीर्षक उदाहरण,false,manager-01
